SEXO	EDAD	HORARIO	JORNADA	TiempoLAB	TiempoCUIDADO	DIASEMANA
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	5
M	M15	0	SinOcup	0	0	5
M	M60	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	4
M	35_59	3	Normal	30000	0	5
M	35_59	3	Normal	28800	0	3
M	16_34	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	5
F	16_34	3	Normal	18600	0	5
M	35_59	0	SinOcup	0	10800	5
M	M60	0	SinOcup	0	0	4
F	16_34	3	Normal	30600	0	1
F	35_59	0	SinOcup	0	0	2
M	35_59	3	Normal	30600	0	3
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	7
F	16_34	1	DescansoNOTRAB	0	2700	6
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	1
M	35_59	3	Normal	25200	0	4
M	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	9900	2
F	16_34	4	Normal	10800	0	7
F	M60	0	SinOcup	0	0	5
M	M60	3	Normal	27000	0	6
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	3
M	M60	4	Normal	7200	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	6
M	16_34	3	Normal	24300	0	5
M	35_59	3	Normal	28200	900	5
F	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	4
F	16_34	0	SinOcup	22200	0	2
F	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	0	SinOcup	0	0	3
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	5
F	35_59	3	Normal	23400	0	3
M	35_59	3	Normal	30000	0	6
F	35_59	0	SinOcup	0	600	6
M	16_34	1	DescansoNOTRAB	0	0	7
M	16_34	0	SinOcup	0	0	6
M	35_59	3	Normal	27000	0	5
F	M60	0	SinOcup	0	0	7
M	35_59	4	Normal	28800	0	2
F	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	14400	0	5
F	M60	0	SinOcup	0	0	4
F	35_59	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	5
M	16_34	3	MediaJ	11700	0	1
M	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	0	SinOcup	0	0	7
F	35_59	3	Normal	30000	0	7
M	35_59	0	SinOcup	2700	0	5
F	35_59	4	MediaJ	7500	0	5
F	16_34	4	Normal	26100	0	5
F	35_59	0	SinOcup	0	0	4
F	M60	0	SinOcup	0	0	1
F	16_34	1	DescansoNOTRAB	24900	0	6
M	35_59	1	DescansoNOTRAB	0	0	6
F	16_34	0	SinOcup	39900	0	3
M	35_59	3	Normal	27300	5400	2
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	6
M	16_34	0	SinOcup	0	0	6
M	35_59	3	Normal	34200	0	5
M	16_34	5	Normal	18000	0	5
F	16_34	0	SinOcup	0	0	5
F	35_59	1	DescansoNOTRAB	0	0	5
F	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	54600	0	4
M	35_59	3	Normal	30600	6600	6
F	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	1
F	16_34	4	DescansoSITRAB	23400	0	6
M	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	4	MediaJ	14400	9600	4
M	M15	0	SinOcup	6600	0	7
F	M60	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	7
F	35_59	2	Normal	23100	0	5
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	1
M	M60	0	SinOcup	0	0	3
M	M60	0	SinOcup	9900	0	7
M	16_34	3	Normal	40800	0	5
M	16_34	0	SinOcup	18000	0	2
F	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	23400	0	3
F	16_34	1	DescansoNOTRAB	24900	0	6
F	M60	0	SinOcup	0	12000	2
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	7
F	35_59	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	6
F	M60	1	DescansoNOTRAB	0	0	6
M	35_59	3	Normal	29400	0	7
F	35_59	3	DescansoSITRAB	18000	0	7
F	35_59	3	Normal	39300	0	5
F	35_59	0	SinOcup	5400	0	7
M	16_34	1	Normal	36000	3900	5
F	M60	0	SinOcup	0	6900	5
